SINR_dB,Blocks,Errors,BLER
-6,110,100,0.909091
-5,123,100,0.813008
-4,128,100,0.78125
-3,140,100,0.714286
-2,157,100,0.636943
-1,174,100,0.574713
0,253,100,0.395257
1,241,100,0.414938
2,298,100,0.33557
3,334,100,0.299401
4,381,100,0.262467
5,500,88,0.176
6,500,88,0.176
7,500,64,0.128
8,500,34,0.068
