SINR_dB,Blocks,Errors,BLER
-6.00,200,179,0.895000
-5.00,200,170,0.850000
-4.00,200,140,0.700000
-3.00,200,138,0.690000
-2.00,200,112,0.560000
-1.00,200,110,0.550000
0.00,400,164,0.410000
1.00,400,147,0.367500
2.00,400,117,0.292500
3.00,600,142,0.236667
4.00,600,137,0.228333
5.00,800,108,0.135000
6.00,1000,112,0.112000
7.00,1000,96,0.096000
8.00,1000,71,0.071000
9.00,1000,42,0.042000
10.00,1000,30,0.030000
11.00,1000,19,0.019000
12.00,1000,25,0.025000
13.00,1000,9,0.009000
