SINR_dB,Blocks,Errors,BLER
8.00,200,146,0.730000
9.00,200,133,0.665000
10.00,200,111,0.555000
11.00,200,98,0.490000
12.00,200,97,0.485000
13.00,200,75,0.375000
14.00,200,64,0.320000
15.00,400,95,0.237500
16.00,400,82,0.205000
17.00,400,52,0.130000
18.00,400,51,0.127500
19.00,500,54,0.108000
20.00,500,35,0.070000
21.00,500,28,0.056000
22.00,500,39,0.078000
23.00,500,16,0.032000
24.00,500,8,0.016000
25.00,500,7,0.014000
