SINR_dB,Blocks,Errors,BLER
2.00,200,154,0.770000
3.00,200,145,0.725000
4.00,200,119,0.595000
5.00,200,107,0.535000
6.00,400,179,0.447500
7.00,400,128,0.320000
8.00,400,136,0.340000
9.00,600,141,0.235000
10.00,600,120,0.200000
11.00,800,130,0.162500
12.00,1000,122,0.122000
13.00,1000,94,0.094000
14.00,1000,63,0.063000
15.00,1000,57,0.057000
16.00,1000,38,0.038000
17.00,1000,36,0.036000
