SINR_dB,Blocks,Errors,BLER
16,126,100,0.793651
17,145,100,0.689655
18,148,100,0.675676
19,185,100,0.540541
20,212,100,0.471698
21,251,100,0.398406
22,339,100,0.294985
23,346,100,0.289017
24,426,100,0.234742
25,500,98,0.196
26,500,88,0.176
27,500,72,0.144
28,500,71,0.142
29,500,51,0.102
30,500,30,0.06
31,500,33,0.066
32,500,22,0.044
