SINR_dB,Blocks,Errors,BLER
-6.00,200,198,0.990000
-5.00,200,194,0.970000
-4.00,200,187,0.935000
-3.00,200,181,0.905000
-2.00,200,167,0.835000
-1.00,200,149,0.745000
0.00,200,142,0.710000
1.00,200,116,0.580000
2.00,400,189,0.472500
3.00,400,179,0.447500
4.00,400,154,0.385000
5.00,400,112,0.280000
6.00,600,129,0.215000
7.00,600,117,0.195000
8.00,800,123,0.153750
9.00,1000,116,0.116000
10.00,1000,101,0.101000
11.00,1000,71,0.071000
12.00,1000,44,0.044000
13.00,1000,43,0.043000
