SINR_dB,Blocks,Errors,BLER
2,127,100,0.787402
3,146,100,0.684932
4,149,100,0.671141
5,192,100,0.520833
6,214,100,0.46729
7,251,100,0.398406
8,356,100,0.280899
9,366,100,0.273224
10,477,100,0.209644
11,500,86,0.172
12,500,70,0.14
13,500,58,0.116
14,500,53,0.106
15,500,38,0.076
16,500,20,0.04
17,500,15,0.03
18,500,9,0.018
