SINR_dB,Blocks,Errors,BLER
-6,105,100,0.952381
-5,111,100,0.900901
-4,114,100,0.877193
-3,122,100,0.819672
-2,132,100,0.757576
-1,155,100,0.645161
0,184,100,0.543478
1,201,100,0.497512
2,230,100,0.434783
3,251,100,0.398406
4,329,100,0.303951
5,430,100,0.232558
6,413,100,0.242131
7,500,84,0.168
8,500,49,0.098
