SINR_dB,Blocks,Errors,BLER
8,136,100,0.735294
9,156,100,0.641026
10,177,100,0.564972
11,225,100,0.444444
12,277,100,0.361011
13,281,100,0.355872
14,414,100,0.241546
15,422,100,0.236967
16,500,89,0.178
17,500,69,0.138
18,500,62,0.124
19,500,46,0.092
20,500,44,0.088
21,500,30,0.06
22,500,13,0.026
23,500,9,0.018
24,500,8,0.016
