SINR_dB,Blocks,Errors,BLER
8,131,100,0.763359
9,152,100,0.657895
10,152,100,0.657895
11,196,100,0.510204
12,220,100,0.454545
13,260,100,0.384615
14,368,100,0.271739
15,383,100,0.261097
16,500,100,0.2
17,500,83,0.166
18,500,70,0.14
19,500,59,0.118
20,500,52,0.104
21,500,37,0.074
22,500,21,0.042
23,500,18,0.036
24,500,12,0.024
