SINR_dB,Blocks,Errors,BLER
2,123,100,0.813008
3,138,100,0.724638
4,141,100,0.70922
5,172,100,0.581395
6,194,100,0.515464
7,231,100,0.4329
8,305,100,0.327869
9,299,100,0.334448
10,394,100,0.253807
11,482,100,0.207469
12,500,87,0.174
13,500,66,0.132
14,500,67,0.134
15,500,45,0.09
16,500,26,0.052
17,500,24,0.048
18,500,18,0.036
