SINR_dB,Blocks,Errors,BLER
8.00,200,171,0.855000
9.00,200,166,0.830000
10.00,200,131,0.655000
11.00,200,131,0.655000
12.00,200,121,0.605000
13.00,200,99,0.495000
14.00,200,73,0.365000
15.00,200,73,0.365000
16.00,200,55,0.275000
17.00,200,53,0.265000
18.00,400,76,0.190000
19.00,400,57,0.142500
20.00,400,54,0.135000
21.00,500,47,0.094000
22.00,500,39,0.078000
23.00,500,17,0.034000
24.00,500,15,0.030000
25.00,500,20,0.040000
