SINR_dB,Blocks,Errors,BLER
2.00,200,182,0.910000
3.00,200,161,0.805000
4.00,200,152,0.760000
5.00,200,141,0.705000
6.00,200,122,0.610000
7.00,200,106,0.530000
8.00,200,91,0.455000
9.00,200,67,0.335000
10.00,200,60,0.300000
11.00,200,55,0.275000
12.00,400,90,0.225000
13.00,400,56,0.140000
14.00,400,55,0.137500
15.00,500,53,0.106000
16.00,500,44,0.088000
17.00,500,32,0.064000
18.00,500,20,0.040000
19.00,500,16,0.032000
