SINR_dB,Blocks,Errors,BLER
16,122,100,0.819672
17,137,100,0.729927
18,139,100,0.719424
19,167,100,0.598802
20,191,100,0.52356
21,218,100,0.458716
22,279,100,0.358423
23,288,100,0.347222
24,331,100,0.302115
25,367,100,0.27248
26,422,100,0.236967
27,500,87,0.174
28,500,97,0.194
29,500,76,0.152
30,500,53,0.106
31,500,59,0.118
32,500,55,0.11
