SINR_dB,Blocks,Errors,BLER
16.00,200,190,0.950000
17.00,200,171,0.855000
18.00,200,165,0.825000
19.00,200,155,0.775000
20.00,200,133,0.665000
21.00,200,120,0.600000
22.00,200,104,0.520000
23.00,200,90,0.450000
24.00,200,79,0.395000
25.00,200,68,0.340000
26.00,400,97,0.242500
27.00,400,82,0.205000
28.00,400,76,0.190000
29.00,400,58,0.145000
30.00,500,60,0.120000
31.00,500,53,0.106000
32.00,500,45,0.090000
33.00,500,34,0.068000
