SINR_dB,Blocks,Errors,BLER
16.00,200,155,0.775000
17.00,200,146,0.730000
18.00,200,136,0.680000
19.00,200,124,0.620000
20.00,200,105,0.525000
21.00,200,91,0.455000
22.00,200,76,0.380000
23.00,200,60,0.300000
24.00,400,88,0.220000
25.00,400,72,0.180000
26.00,400,67,0.167500
27.00,400,55,0.137500
28.00,500,59,0.118000
29.00,500,45,0.090000
30.00,500,44,0.088000
31.00,500,43,0.086000
32.00,500,25,0.050000
33.00,500,22,0.044000
