SINR_dB,Blocks,Errors,BLER
20,108,100,0.925926
22,138,100,0.724638
24,229,100,0.436681
26,510,100,0.196078
28,1000,72,0.072
30,1000,42,0.042
32,1000,23,0.023
34,1000,3,0.003
36,1000,1,0.001
38,1000,1,0.001
40,1000,2,0.002
