SINR_dB,Blocks,Errors,BLER
20.00,200,187,0.935000
22.00,200,125,0.625000
24.00,300,105,0.350000
26.00,700,110,0.157143
28.00,1000,74,0.074000
30.00,1000,25,0.025000
32.00,1000,6,0.006000
